epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3603,1.29557,1.48637,1.43884,0.49945,0.38545,0.41652,0.27109,1.28388,1.37023,1.41308,0.000332606,0.000332606,0.000332606
2,6686.09,1.33438,1.51576,1.45974,0.45508,0.36454,0.37905,0.24196,1.32865,1.55764,1.45922,0.000632975,0.000632975,0.000632975
3,2764.35,1.31771,1.49451,1.4439,0.42691,0.35185,0.35798,0.22308,1.3956,1.59974,1.53277,0.000900344,0.000900344,0.000900344
4,7953.95,1.33624,1.50881,1.45322,0.43691,0.35469,0.35929,0.2288,1.34222,1.5634,1.47964,0.0008515,0.0008515,0.0008515
5,11581.6,1.33602,1.54581,1.4592,0.44902,0.35853,0.3672,0.23557,1.34277,1.55659,1.49612,0.000802,0.000802,0.000802
6,14622.2,1.31812,1.49519,1.44789,0.46129,0.3801,0.39532,0.24647,1.37066,1.44795,1.49803,0.0007525,0.0007525,0.0007525
7,19302.9,1.30809,1.46081,1.44262,0.50596,0.35846,0.39412,0.25456,1.30619,1.47887,1.48383,0.000703,0.000703,0.000703
8,2522.17,1.26369,1.34664,1.40139,0.49415,0.36498,0.40096,0.25534,1.31758,1.40066,1.43073,0.0006535,0.0006535,0.0006535
9,4957.25,1.26303,1.31087,1.39745,0.46428,0.37804,0.39305,0.25225,1.29491,1.41729,1.40901,0.000604,0.000604,0.000604
10,8078.74,1.24996,1.33273,1.39359,0.52393,0.39144,0.42543,0.2782,1.26719,1.32479,1.41781,0.0005545,0.0005545,0.0005545
11,10371.4,1.31215,1.34025,1.46278,0.49784,0.39385,0.41376,0.2707,1.2668,1.41473,1.39236,0.000505,0.000505,0.000505
12,12760.6,1.27982,1.29255,1.44363,0.53616,0.39983,0.45156,0.29539,1.26238,1.25217,1.40208,0.0004555,0.0004555,0.0004555
13,15327.2,1.25029,1.2651,1.42982,0.518,0.40288,0.44916,0.29392,1.24038,1.30977,1.38636,0.000406,0.000406,0.000406
14,18418.3,1.23272,1.21305,1.41324,0.53234,0.43261,0.46967,0.30814,1.25544,1.23455,1.37808,0.0003565,0.0003565,0.0003565
15,4096.38,1.21634,1.14461,1.38969,0.54643,0.45408,0.49567,0.3298,1.21866,1.16904,1.35057,0.000307,0.000307,0.000307
16,8232.29,1.20264,1.13218,1.38626,0.5314,0.44646,0.47773,0.32217,1.18426,1.17965,1.33236,0.0002575,0.0002575,0.0002575
17,11343.9,1.20054,1.10238,1.37815,0.56865,0.45289,0.50993,0.34161,1.18681,1.13355,1.32615,0.000208,0.000208,0.000208
18,13715.7,1.17848,1.06952,1.36062,0.57085,0.44636,0.50564,0.3398,1.19355,1.12626,1.32918,0.0001585,0.0001585,0.0001585
19,17831.7,1.15925,1.03604,1.35024,0.58734,0.4471,0.50859,0.34373,1.1733,1.12599,1.32167,0.000109,0.000109,0.000109
20,21906.2,1.1485,1.00519,1.34079,0.55987,0.46614,0.51185,0.34763,1.16269,1.1113,1.30898,5.95e-05,5.95e-05,5.95e-05
